,in_row_id,in_ra,in_dec,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
592,1,30.0216626145641,77.3690009027791,30.02068342,77.0145849,0,855,11,3,42,2,zr,2217268444215,2217,221726844,1,object,o,2023-01-27 06:26:34.754+00,2459971.7684491,30,20230127268380,3.84755993,1.65799999,0.357398003,0,19.6961994,1536.5,1540.5,30.02077230059,77.01462746704,-0.0002796866597578,3.037977409416e-05,-3.026358983936e-05,-0.0002796811483395,31.78882013,77.48604249999998,27.83791862,77.38986115,28.37651624,76.53235626999998,32.08019535,76.62217076,2023-05-09 00:00:00+00,1
593,1,30.0216626145641,77.3690009027791,30.00359863,76.99686936,33554432,855,11,3,42,2,zr,1102153044215,1102,110215304,1,object,o,2020-01-08 03:40:23.156+00,2458856.653044,30,20200108152986,1.99125004,1.37800002,0.916705012,0,20.0811005,1536.5,1540.5,30.00372968207,76.99691383727,-0.0002797289462532,3.000889040348e-05,-2.994353792711e-05,-0.000279708507484,31.77116462,77.46789904,27.82682863,77.37291449999998,28.35968518,76.51499172,32.05767507,76.60377286,2020-12-09 00:00:00+00,1
594,1,30.0216626145641,77.3690009027791,30.09575305,77.0136303,4194304,855,11,3,42,1,zg,2086319184215,2086,208631918,1,object,o,2022-09-18 07:39:38.264+00,2459840.8191898,30,20220918319167,2.28312993,1.472,-0.460913002,0,20.6443996,1536.5,1540.5,30.09576964249,77.01363235037,-0.0002798265570695,2.936382590363e-05,-2.929965696257e-05,-0.0002798061214404,31.87143876,77.48387434,27.91984135,77.39072839,28.44420087,76.53249427,32.14847697,76.61952431999998,2023-01-09 00:00:00+00,1
595,1,30.0216626145641,77.3690009027791,30.12948326,76.99329360999998,0,855,11,3,42,2,zr,1680361294215,1680,168036129,1,object,o,2021-08-08 08:40:16.293+00,2459434.8612963,30,20210808361285,1.57463002,1.63,-0.000443219004,0,20.9528008,1536.5,1540.5,30.1296623747,76.99329481828998,-0.0002798641905029,2.886683651483e-05,-2.879904333684e-05,-0.0002798390390518,31.90602616,77.46279672,27.95953121,77.37112009,28.47697281,76.51287841,32.17658826,76.59851637,2021-11-03 00:00:00+00,1
596,1,30.0216626145641,77.3690009027791,30.03288716,77.02892312999998,0,855,11,3,42,2,zr,2143303644215,2143,214330364,1,object,o,2022-11-14 07:17:15.806+00,2459897.8036458,30,20221114303507,1.99511003,1.38100004,-0.708773971,0,20.3463001,1536.5,1540.5,30.0330462579,77.02892752386998,-0.0002797359560448,3.009327449215e-05,-3.002865305598e-05,-0.0002797159903405,31.80440485,77.50010598999998,27.85000342,77.40478529,28.38552142,76.54689460999998,32.09259496,76.63593847999998,2023-03-09 00:00:00+00,1
597,1,30.0216626145641,77.3690009027791,30.09050003,77.00881798,4194304,855,11,3,42,1,zg,1763261784215,1763,176326178,1,object,o,2021-10-30 06:16:58.577+00,2459517.7617824,30,20211030261701,1.72008002,1.39900005,-0.35967201,0,21.1243992,1536.5,1540.5,30.09063432542,77.00887634746,-0.0002797864622522,2.958711306834e-05,-2.951595060523e-05,-0.0002797659509546,31.86340555,77.47933408,27.91433709,77.38557901999998,28.44154539,76.52746784,32.14372941,76.61504286,2022-01-05 00:00:00+00,1
598,1,30.0216626145641,77.3690009027791,30.00734057,77.01692787999998,0,855,11,3,42,1,zg,1509142264215,1509,150914226,1,object,o,2021-02-18 03:24:52.437+00,2459263.6422685,30,20210218142257,3.65087008,1.49699998,0.347977996,0,19.8276005,1536.5,1540.5,30.00749428689,77.0169663775,-0.0002797294140885,3.020331487367e-05,-3.013459522549e-05,-0.0002797059326884,31.7766813,77.48819794,27.82509048,77.39266338,28.36192063,76.53489478999998,32.06630639,76.62410237,2022-09-07 00:00:00+00,2
599,1,30.0216626145641,77.3690009027791,29.95878218,77.01899339,0,855,11,3,42,2,zr,589368274215,589,58936827,1,object,o,2018-08-13 08:50:19.285+00,2458343.8682755,30,20180813368218,1.63674998,1.56099999,0.0559818,0,20.9904003,1536.5,1540.5,29.9589132976,77.01901932785998,-0.0002797830187532,2.961690483668e-05,-2.955198169585e-05,-0.0002797581177618,31.73317497,77.48952757,27.78034278,77.39554862,28.30861823,76.53755959999998,32.01412532,76.62539585,2019-05-08 00:00:00+00,1
600,1,30.0216626145641,77.3690009027791,30.06170144,77.03370081,0,855,11,3,42,1,zg,1369393484215,1369,136939348,1,object,o,2020-10-01 09:26:37.96+00,2459123.8934838,30,20201001393472,2.12338996,1.37300003,0.997812986,0,19.5865002,1536.5,1540.5,30.06169311878,77.03370958537,-0.0002797730542001,2.976927024061e-05,-2.970385069208e-05,-0.0002797528422718,31.83631726,77.50448917999998,27.87995067,77.41010195,28.41136366,76.55207086,32.12005591,76.64019406,2021-03-31 00:00:00+00,1
601,1,30.0216626145641,77.3690009027791,30.08299454,77.00687007,0,855,11,3,42,1,zg,1416216754215,1416,141621675,1,object,o,2020-11-17 05:12:08.587+00,2459170.7167593,30,20201117216748,2.38800001,1.39499998,0.0570836999,0,20.6954994,1536.5,1540.5,30.08314944484,77.00692791305,-0.0002797819386473,2.961758816681e-05,-2.955224544386e-05,-0.0002797571385253,31.85535429,77.47741645,27.90699933,77.38357276,28.43451354,76.52546355,32.13598736,76.61314872,2021-03-31 00:00:00+00,1
